,rank ,name,ELO,title,federation,games,birth_year,age,rapid,blitz
0,1,Magnus Carlsen,2864,GM,Norway ,3125,1990,32,2834,2831
1,2,Ding Liren,2806,GM,China ,1630,1992,30,2836,2788
2,3,Alireza Firouzja,2793,GM,France ,845,2003,19,2670,2753
3,4,Fabiano Caruana,2783,GM,United States ,2622,1992,30,2766,2847
4,5,Levon Aronian,2775,GM,United States ,3320,1982,40,2728,2850
5,6,Wesley So,2773,GM,United States ,1902,1993,29,2783,2763
6,7,Ian Nepomniachtchi,2766,GM,Russian Federation ,2297,1990,32,2795,2791
7,8,Richard Rapport,2764,GM,Hungary ,1278,1996,26,2802,2613
8,9,Anish Giri,2760,GM,Netherlands ,2209,1994,28,2721,2794
9,10,Hikaru Nakamura,2760,GM,United States ,3147,1987,35,2837,2850
10,11,Maxime Vachier-Lagrave,2760,GM,France ,2899,1990,32,2763,2758
11,12,Shakhriyar Mamedyarov,2759,GM,Azerbaijan ,3003,1985,37,2699,2710
12,13,Viswanathan Anand,2756,GM,India ,3913,1969,53,2731,2734
13,14,Leinier Dominguez Perez,2754,GM,United States ,1301,1983,39,2705,2708
14,15,Jan-Krzysztof Duda,2750,GM,Poland ,1213,1998,24,2808,2779
15,16,Sergey Karjakin,2747,GM,Russian Federation ,2932,1990,32,2736,2611
16,17,Alexander Grischuk,2745,GM,Russian Federation ,3235,1983,39,2759,2762
17,18,Teimour Radjabov,2738,GM,Azerbaijan ,1996,1987,35,2747,2685
18,19,Wang Hao,2735,GM,China ,1723,1989,33,2750,2690
19,20,Dmitry Andreikin,2729,GM,FIDE ,1567,1990,32,2675,2736
20,21,Veselin Topalov,2728,GM,Bulgaria ,2383,1975,47,2627,2667
21,22,Wei Yi,2727,GM,China ,979,1999,23,2752,2686
22,23,Le Quang Liem,2722,GM,Viet Nam ,1725,1991,31,2626,2657
23,24,Nikita Vitiugov,2722,GM,FIDE ,1768,1987,35,2580,2673
24,25,Pentala Harikrishna,2720,GM,India ,2220,1986,36,2624,2574
25,26,Samuel Shankland,2720,GM,United States ,1007,1991,31,2616,2645
26,27,Yu Yangyi,2720,GM,China ,1497,1994,28,2738,2808
27,28,Vidit Santosh Gujrathi,2714,GM,India ,1144,1994,28,2617,2654
28,29,Bu Xiangzhi,2709,GM,China ,1573,1985,37,2642,2760
29,30,Kirill Alekseenko,2708,GM,FIDE ,885,1997,25,2639,2682
30,31,Radoslaw Wojtaszek,2708,GM,Poland ,2201,1987,35,2636,2606
31,32,Alexei Shirov,2704,GM,Spain ,3578,1972,50,2621,2678
32,33,Daniil Dubov,2702,GM,Russian Federation ,1635,1996,26,2712,2791
33,34,Evgeny Tomashevsky,2702,GM,Russian Federation ,1544,1987,35,2631,2695
34,35,Francisco Vallejo Pons,2702,GM,Spain ,2306,1982,40,2682,2644
35,36,Parham Maghsoodloo,2701,GM,Iran ,788,2000,22,2629,2607
36,37,Gabriel Sargissian,2698,GM,Armenia ,1646,1983,39,2639,2561
37,38,Vladislav Artemiev,2697,GM,Russian Federation ,1428,1998,24,2710,2832
38,39,Michael Adams,2696,GM,United Kingdom ,3102,1971,51,2651,2742
39,40,Sanan Sjugirov,2696,GM,Russian Federation ,1561,1993,29,2553,2609
40,41,Bogdan-Daniel Deac,2692,GM,Romania ,689,2001,21,2577,2648
41,42,Anton Korobov,2692,GM,Ukraine ,2133,1985,37,2642,2635
42,43,Jeffery Xiong,2691,GM,United States ,776,2000,22,2725,2714
43,44,Arjun Erigaisi,2689,GM,India ,514,2003,19,2450,2745
44,45,Nodirbek Abdusattorov,2688,GM,Uzbekistan ,570,2004,18,2670,2663
45,46,David Navara,2688,GM,Czech Republic ,2596,1985,37,2659,2676
46,47,Hans Moke Niemann,2688,GM,United States ,518,2003,19,2529,2632
47,48,Alexandr Predke,2688,GM,FIDE ,933,1994,28,2573,2614
48,49,Vladimir Fedoseev,2686,GM,FIDE ,1576,1995,27,2739,2726
49,50,Vincent Keymer,2686,GM,Germany ,392,2004,18,2552,2548
50,51,Illya Nyzhnyk,2686,GM,Ukraine ,627,1996,26,2658,2643
51,52,Ivan Cheparinov,2685,GM,Bulgaria ,2048,1986,36,2652,2622
52,53,Gukesh D,2684,GM,India ,569,2006,16,2223,2598
53,54,Saleh Salem,2684,GM,United Arab Emirates ,999,1993,29,2655,2679
54,55,Sam Sevian,2684,GM,United States ,703,2000,22,2569,2692
55,56,Grigoriy Oparin,2683,GM,United States ,1031,1997,25,2650,2639
56,57,Peter Svidler,2683,GM,Russian Federation ,3260,1976,46,2752,2725
57,58,Andrey Esipenko,2682,GM,FIDE ,949,2002,20,2679,2617
58,59,Dmitry Jakovenko,2682,GM,Russian Federation ,1853,1983,39,2684,2625
59,60,Ray Robson,2682,GM,United States ,727,1994,28,2596,2670
60,61,Pavel Eljanov,2681,GM,Ukraine ,1740,1983,39,2653,2601
61,62,Bassem Amin,2680,GM,Egypt ,1154,1988,34,2538,2699
62,63,Ivan Saric,2680,GM,Croatia ,1676,1990,32,2645,2550
63,64,Li Chao,2679,GM,China ,902,1989,33,2645,2693
64,65,Jorden van Foreest,2678,GM,Netherlands ,1051,1999,23,2645,2609
65,66,Zoltan Almasi,2677,GM,Hungary ,1961,1976,46,2599,2585
66,67,Evgeniy Najer,2676,GM,Russian Federation ,2025,1977,45,2590,2562
67,68,Jaime Santos Latasa,2675,GM,Spain ,557,1996,26,2593,2617
68,69,Igor Kovalenko,2674,GM,Ukraine ,1246,1988,34,2620,2560
69,70,Andrei Volokitin,2674,GM,Ukraine ,1654,1986,36,2659,2505
70,71,Matthias Bluebaum,2673,GM,Germany ,1083,1997,25,2587,2556
71,72,Rustam Kasimdzhanov,2672,GM,Uzbekistan ,1552,1979,43,2698,2681
